,mean,scale
f1,9.002868673631781,8.517349249443729
f2,4.433916247576637,3.320137902898601
f3,0.054237173538272496,0.43095714120809947
f4,0.03424894581587575,1.4437709327646986
f5,3.5848281346852096,2.895957262003129
f1_lag1,8.999763743842323,8.518494842979402
f2_lag1,4.428332072787821,3.315229723199869
f3_lag1,0.054206353263500144,0.43099917228850804
f4_lag1,0.0357453619719433,1.4432943993924827
f5_lag1,3.583016206301277,2.89608919696586
f1_lag2,8.99691066006709,8.519359756166125
f2_lag2,4.423477214879751,3.3110391473939345
f3_lag2,0.05384347971417733,0.4314644064287491
f4_lag2,0.036794096606826816,1.442721784283181
f5_lag2,3.581061774462656,2.896264367765965
f1_lag3,8.99383285340556,8.520458261085244
f2_lag3,4.418469480708781,3.306426390547872
f3_lag3,0.05351979717867406,0.4318031619622392
f4_lag3,0.03822517337286986,1.4420080970372606
f5_lag3,3.578996964126099,2.896518149606852
f1_lag7,8.981281959448353,8.525571404407383
f2_lag7,4.398450410706636,3.2888758014166237
f3_lag7,0.05396111394277185,0.4316995934924748
f4_lag7,0.04321798905581355,1.4391466014943637
f5_lag7,3.5715478753477785,2.897832671755529
f1_lag14,8.9568346948452,8.539055489782632
f2_lag14,4.365881579346131,3.2686015774197754
f3_lag14,0.054326928099472774,0.4317103030587875
f4_lag14,0.05063715983786763,1.4342554019144067
f5_lag14,3.557366881516455,2.9033559223356207
f1_rmean_3,8.99984769251373,8.506781897272663
f1_rstd_3,0.4845359877391539,0.2489337775960587
f2_rmean_3,4.4285751784147385,3.2990414479431287
f2_rstd_3,0.36161366297127445,0.17964731356767943
f3_rmean_3,0.05409566883865001,0.3863515227153336
f3_rstd_3,0.2023928682280183,0.11814764159311039
f4_rmean_3,0.0355961347982149,1.4328075052015719
f4_rstd_3,0.18716292599948206,0.10037600842673935
f5_rmean_3,3.582968705149714,2.891996768440097
f5_rstd_3,0.16728903313652668,0.0876022745754884
f1_rmean_7,8.993727253399136,8.496730048789926
f1_rstd_7,0.6583903836448857,0.20242873152931154
f2_rmean_7,4.418355605146439,3.2523004935535096
f2_rstd_7,0.6054413807428984,0.2173158454637416
f3_rmean_7,0.053867976102448964,0.30936919855326267
f3_rstd_7,0.29728891254104434,0.1309419429716359
f4_rmean_7,0.038241164775362324,1.4277171284557562
f4_rstd_7,0.2088183799493222,0.06208851216773057
f5_rmean_7,3.5790996792325376,2.8874087527952588
f5_rstd_7,0.2329259466699632,0.08844641626603682
f1_rmean_14,8.982710618325735,8.46553323688707
f1_rstd_14,0.9956305999936343,0.32917079810181565
f2_rmean_14,4.401280708585148,3.1170559655500223
f2_rstd_14,1.0371144866060709,0.36797723480473676
f3_rmean_14,0.05400888000653198,0.2319464913862034
f3_rstd_14,0.35653198929300045,0.12465737553716649
f4_rmean_14,0.042275360371882495,1.4216107141108734
f4_rstd_14,0.23014315600451538,0.04812481107735955
f5_rmean_14,3.5723862121223835,2.8740643434948825
f5_rstd_14,0.3529798609965265,0.1613711764464618
